model,mean_similarity,min_similarity,max_similarity,std_similarity
gpt2-xl,0.2947150467665697,0.16469476643863246,0.4457666277885437,0.08569421221005347
gpt2-xl,0.3197938944301372,0.24276304244995117,0.3850215604914171,0.04274484292745638
gpt2-xl,0.33905746713545837,0.21205544471740723,0.5342371463775635,0.0977316377723574
gpt2-xl,0.3218265012590033,0.20600882786538688,0.47124651417178076,0.08544623616053065
gpt2-xl,0.4829364966206823,0.38117457144412037,0.6475905986076248,0.06974087730109826
gpt2-xl,0.31223904684486986,0.21136841638464876,0.3749907985335119,0.052197270175582886
gpt2-xl,0.4196518059741135,0.30732035636901855,0.5621917415318415,0.0684898327646882
gpt2-xl,0.35188247219962043,0.2160329520702362,0.5016736388206482,0.09466139264246652
gpt2-xl,0.3659537784947777,0.2585817575454712,0.42954793992352913,0.05074556122967399
gpt2-xl,0.3839976873893168,0.26685912212309615,0.7552674266855388,0.14696467959212137
gpt2-xl,0.30331801338652975,0.17725513441891305,0.4259955883026123,0.06405853840542375
gpt2-xl,0.35165776206349864,0.24444342388044082,0.4869635112903419,0.0672985759905237
gpt2-xl,0.451853312934408,0.3876143164864596,0.526661185821225,0.04087200645719067
gpt2-xl,0.35628364810832824,0.22759716613343728,0.5811397682941108,0.10519493640643571
gpt2-xl,0.3714115379316899,0.2697896635783139,0.5995660305540568,0.09505230704037082
gpt2-xl,0.38561653792858125,0.3054361343383789,0.5141414403915405,0.06879918894858997
gpt2-xl,0.3457503347657549,0.22422070647601566,0.5235476493835449,0.09770151770236479
gpt2-xl,0.4008561354090297,0.303756111412514,0.5939907012579057,0.08692700498996665
gpt2-xl,0.4118571403979871,0.3285970492007113,0.5054405626392038,0.060360441052970025
gpt2-xl,0.35336202935995825,0.2737037241458893,0.46504560321297705,0.05696212189000008
gpt2-xl,0.4003705315131622,0.24474746020153448,0.6154835224151611,0.09716587530871672
gpt2-xl,0.41059813904927794,0.3351450264453888,0.5066252946853638,0.04773523562643447
gpt2-xl,0.3921653862444098,0.2892826795578003,0.532784191800107,0.07408225612388994
gpt2-xl,0.3410509676099068,0.2143790147078628,0.5363228554148423,0.09154581270083285
gpt2-xl,0.378516772522259,0.2992819547653198,0.5191160440444946,0.05861762600860001
gpt2-xl,0.4088684098383727,0.22010310172420167,0.7171405126368706,0.12427345919878645
gpt2-xl,0.38943101183135187,0.2874429904026452,0.5989147902828748,0.09135895427175145
gpt2-xl,0.3200047875429256,0.2508010416745523,0.4161163568496704,0.052474669726779895
gpt2-xl,0.38976458869768693,0.2736636996269226,0.5577525496482849,0.0742082591764567
gpt2-xl,0.40578981771991246,0.2553688218029291,0.6628930970557859,0.10502661061485463
gpt2-xl,0.4116160601377487,0.3501710891723633,0.5410480499267578,0.06889646366672769
gpt2-xl,0.3594392323390027,0.2869934097536334,0.4512195587158203,0.05713305081115418
gpt2-xl,0.46423308619084447,0.35890223277780875,0.5712867975234985,0.05866041131437395
gpt2-xl,0.32934058132184785,0.17734915018081665,0.4513464570045471,0.07754686794900903
gpt2-xl,0.3471713012731178,0.18840248126954195,0.5447406335097743,0.11585642163133904
gpt2-xl,0.325223445892334,0.2577993869781494,0.4332241415977478,0.05503267365382649
gpt2-xl,0.38908598272450945,0.2650367757656116,0.6465450735959378,0.11152255272676413
gpt2-xl,0.3999129694034546,0.22670164704322815,0.580127273805576,0.09267189028129554
gpt2-xl,0.40557621020149687,0.33708998560905457,0.4855957635882051,0.05157540876495692
gpt2-xl,0.3891274230827087,0.28998641431412664,0.4985018671451895,0.07480277084592071
